temperature1_c,humidity1_percent,temperature2_c,humidity2_percent,dT1,dT2,avgT1_5,avgT2_5,stdT1_5,stdT2_5,stuck_count1,stuck_count2,diffT,abs_dT1,abs_dT2,label
8.4,81.0,8.8,82.4,0.0,0.0,8.4,8.8,0.0,0.0,1,1,0.40000000000000036,0.0,0.0,0
8.4,81.0,8.8,82.2,0.0,0.0,8.4,8.8,0.0,0.0,1,1,0.40000000000000036,0.0,0.0,0
8.4,80.0,8.7,82.1,0.0,-0.10000000000000142,8.4,8.766666666666667,0.0,0.05773502691896365,1,0,0.29999999999999893,0.0,0.10000000000000142,0
8.4,80.0,8.7,82.0,0.0,0.0,8.4,8.75,0.0,0.05773502691896365,1,1,0.29999999999999893,0.0,0.0,0
8.4,80.0,8.7,81.8,0.0,0.0,8.4,8.74,0.0,0.05477225575051763,1,1,0.29999999999999893,0.0,0.0,0
8.4,80.0,8.6,81.8,0.0,-0.09999999999999964,8.4,8.7,0.0,0.07071067811865529,1,0,0.1999999999999993,0.0,0.09999999999999964,0
8.4,80.0,8.6,81.7,0.0,0.0,8.4,8.66,0.0,0.054772255750516176,1,1,0.1999999999999993,0.0,0.0,0
8.4,80.0,8.5,81.6,0.0,-0.09999999999999964,8.4,8.62,0.0,0.08366600265340672,1,0,0.09999999999999964,0.0,0.09999999999999964,0
8.4,80.0,8.5,81.5,0.0,0.0,8.4,8.58,0.0,0.08366600265340672,1,1,0.09999999999999964,0.0,0.0,0
8.4,79.0,8.5,81.2,0.0,0.0,8.4,8.540000000000001,0.0,0.054772255750516176,1,1,0.09999999999999964,0.0,0.0,0
8.4,79.0,8.4,81.4,0.0,-0.09999999999999964,8.4,8.5,0.0,0.07071067811865547,1,0,0.0,0.0,0.09999999999999964,0
8.1,79.0,8.4,81.4,-0.3000000000000007,0.0,8.34,8.459999999999999,0.13416407864998758,0.05477225575051879,0,1,0.3000000000000007,0.3000000000000007,0.0,0
8.0,79.0,8.4,81.3,-0.09999999999999964,0.0,8.26,8.440000000000001,0.1949358868961792,0.05477225575051915,0,1,0.40000000000000036,0.09999999999999964,0.0,0
8.0,78.0,8.3,81.2,0.0,-0.09999999999999964,8.180000000000001,8.4,0.20493901531919168,0.07071067811865689,1,0,0.3000000000000007,0.0,0.09999999999999964,0
8.0,78.0,8.3,81.1,0.0,0.0,8.1,8.360000000000001,0.17320508075688718,0.05477225575051915,1,1,0.3000000000000007,0.0,0.0,0
8.0,78.0,8.3,81.0,0.0,0.0,8.02,8.34,0.04472135954999136,0.05477225575051879,1,1,0.3000000000000007,0.0,0.0,0
8.0,78.0,8.2,81.0,0.0,-0.10000000000000142,8.0,8.3,0.0,0.07071067811865618,1,0,0.1999999999999993,0.0,0.10000000000000142,0
8.0,78.0,8.2,81.0,0.0,0.0,8.0,8.26,0.0,0.054772255750517335,1,1,0.1999999999999993,0.0,0.0,0
8.0,77.0,8.2,80.9,0.0,0.0,8.0,8.24,0.0,0.05477225575051608,1,1,0.1999999999999993,0.0,0.0,0
8.0,77.0,8.1,80.9,0.0,-0.09999999999999964,8.0,8.2,0.0,0.07071067811865221,1,0,0.09999999999999964,0.0,0.09999999999999964,0
8.0,77.0,8.1,80.8,0.0,0.0,8.0,8.16,0.0,0.054772255750511055,1,1,0.09999999999999964,0.0,0.0,0
8.0,77.0,8.1,80.8,0.0,0.0,8.0,8.139999999999999,0.0,0.05477225575051069,1,1,0.09999999999999964,0.0,0.0,0
8.0,77.0,8.0,80.7,0.0,-0.09999999999999964,8.0,8.1,0.0,0.0707106781186492,1,0,0.0,0.0,0.09999999999999964,0
8.0,76.0,8.0,80.7,0.0,0.0,8.0,8.059999999999999,0.0,0.05477225575050808,1,1,0.0,0.0,0.0,0
8.0,76.0,8.0,80.6,0.0,0.0,8.0,8.040000000000001,0.0,0.05477225575050771,1,1,0.0,0.0,0.0,0
8.0,76.0,8.0,80.5,0.0,0.0,8.0,8.02,0.0,0.044721359549984505,1,1,0.0,0.0,0.0,0
7.6,76.0,7.9,80.5,-0.40000000000000036,-0.09999999999999964,7.92,7.9799999999999995,0.17888543819998223,0.044721359549984505,0,0,0.3000000000000007,0.40000000000000036,0.09999999999999964,0
7.6,76.0,7.9,80.5,0.0,0.0,7.840000000000001,7.959999999999999,0.21908902300206584,0.05477225575050755,1,1,0.3000000000000007,0.0,0.0,0
7.6,76.0,7.9,80.5,0.0,0.0,7.76,7.94,0.21908902300206584,0.05477225575050791,1,1,0.3000000000000007,0.0,0.0,0
7.6,76.0,7.9,80.5,0.0,0.0,7.68,7.92,0.17888543819998223,0.044721359549985844,1,1,0.3000000000000007,0.0,0.0,0
7.6,76.0,7.8,80.4,0.0,-0.10000000000000053,7.6,7.88,0.0,0.044721359549987835,1,0,0.20000000000000018,0.0,0.10000000000000053,0
7.6,76.0,7.8,80.3,0.0,0.0,7.6,7.860000000000001,0.0,0.05477225575051075,1,1,0.20000000000000018,0.0,0.0,0
7.6,76.0,7.8,80.3,0.0,0.0,7.6,7.840000000000001,0.0,0.054772255750511194,1,1,0.20000000000000018,0.0,0.0,0
7.6,76.0,7.8,80.2,0.0,0.0,7.6,7.82,0.0,0.04472135954998953,1,1,0.20000000000000018,0.0,0.0,0
7.6,76.0,7.7,80.1,0.0,-0.09999999999999964,7.6,7.779999999999999,0.0,0.044721359549990625,1,0,0.10000000000000053,0.0,0.09999999999999964,0
7.6,76.0,7.7,80.0,0.0,0.0,7.6,7.76,0.0,0.05477225575051276,1,1,0.10000000000000053,0.0,0.0,0
7.6,76.0,7.7,80.0,0.0,0.0,7.6,7.74,0.0,0.05477225575051313,1,1,0.10000000000000053,0.0,0.0,0
7.6,76.0,7.7,80.0,0.0,0.0,7.6,7.720000000000001,0.0,0.04472135954999223,1,1,0.10000000000000053,0.0,0.0,0
7.6,76.0,7.6,80.0,0.0,-0.10000000000000053,7.6,7.68,0.0,0.04472135954999422,1,0,0.0,0.0,0.10000000000000053,0
7.6,76.0,7.6,80.0,0.0,0.0,7.6,7.659999999999999,0.0,0.05477225575051597,1,1,0.0,0.0,0.0,0
7.6,76.0,7.6,79.8,0.0,0.0,7.6,7.639999999999999,0.0,0.05477225575051641,1,1,0.0,0.0,0.0,0
7.6,76.0,7.6,79.8,0.0,0.0,7.6,7.619999999999999,0.0,0.04472135954999592,1,1,0.0,0.0,0.0,0
7.6,75.0,7.6,79.7,0.0,0.0,7.6,7.6,0.0,0.0,1,1,0.0,0.0,0.0,0
7.6,75.0,7.5,79.7,0.0,-0.09999999999999964,7.6,7.58,0.0,0.044721359549997015,1,0,0.09999999999999964,0.0,0.09999999999999964,0
7.6,75.0,7.5,79.6,0.0,0.0,7.6,7.56,0.0,0.05477225575051798,1,1,0.09999999999999964,0.0,0.0,0
7.4,75.0,7.5,79.6,-0.1999999999999993,0.0,7.56,7.539999999999999,0.08944271909998905,0.05477225575051835,0,1,0.09999999999999964,0.1999999999999993,0.0,0
7.1,75.0,7.5,79.4,-0.3000000000000007,0.0,7.459999999999999,7.5200000000000005,0.21908902300206554,0.04472135954999862,0,1,0.40000000000000036,0.3000000000000007,0.0,0
7.1,75.0,7.5,79.4,0.0,0.0,7.359999999999999,7.5,0.25099800796022187,0.0,1,1,0.40000000000000036,0.0,0.0,0
7.1,75.0,7.4,79.4,0.0,-0.09999999999999964,7.26,7.4799999999999995,0.23021728866442567,0.044721359550000166,1,0,0.3000000000000007,0.0,0.09999999999999964,0
7.1,75.0,7.4,79.4,0.0,0.0,7.159999999999999,7.459999999999999,0.1341640786499849,0.05477225575052055,1,1,0.3000000000000007,0.0,0.0,0
7.1,75.0,7.4,79.3,0.0,0.0,7.1,7.44,0.0,0.05477225575052091,1,1,0.3000000000000007,0.0,0.0,0
7.1,75.0,7.4,79.2,0.0,0.0,7.1,7.42,0.0,0.04472135955000176,1,1,0.3000000000000007,0.0,0.0,0
7.1,75.0,7.4,79.2,0.0,0.0,7.1,7.4,0.0,0.0,1,1,0.3000000000000007,0.0,0.0,0
7.1,75.0,7.4,79.1,0.0,0.0,7.1,7.4,0.0,0.0,1,1,0.3000000000000007,0.0,0.0,0
7.1,74.0,7.3,79.1,0.0,-0.10000000000000053,7.1,7.380000000000001,0.0,0.04472135955000375,1,0,0.20000000000000018,0.0,0.10000000000000053,0
7.1,74.0,7.3,79.0,0.0,0.0,7.1,7.359999999999999,0.0,0.05477225575052375,1,1,0.20000000000000018,0.0,0.0,0
7.1,74.0,7.3,79.0,0.0,0.0,7.1,7.340000000000001,0.0,0.0547722557505242,1,1,0.20000000000000018,0.0,0.0,0
7.1,74.0,7.3,78.9,0.0,0.0,7.1,7.32,0.0,0.04472135955000545,1,1,0.20000000000000018,0.0,0.0,0
7.1,74.0,7.3,78.9,0.0,0.0,7.1,7.3,0.0,0.0,1,1,0.20000000000000018,0.0,0.0,0
7.1,74.0,7.3,78.5,0.0,0.0,7.1,7.3,0.0,0.0,1,1,0.20000000000000018,0.0,0.0,0
7.1,74.0,7.2,78.7,0.0,-0.09999999999999964,7.1,7.279999999999999,0.0,0.044721359550006994,1,0,0.10000000000000053,0.0,0.09999999999999964,0
7.1,74.0,7.2,78.7,0.0,0.0,7.1,7.26,0.0,0.054772255750526494,1,1,0.10000000000000053,0.0,0.0,0
7.1,74.0,7.2,78.6,0.0,0.0,7.1,7.24,0.0,0.05477225575052712,1,1,0.10000000000000053,0.0,0.0,0
7.1,74.0,7.2,78.6,0.0,0.0,7.1,7.220000000000001,0.0,0.04472135955000937,1,1,0.10000000000000053,0.0,0.0,0
7.1,74.0,7.2,78.2,0.0,0.0,7.1,7.2,0.0,0.0,1,1,0.10000000000000053,0.0,0.0,0
7.1,74.0,7.2,78.5,0.0,0.0,7.1,7.2,0.0,0.0,1,1,0.10000000000000053,0.0,0.0,0
7.1,73.0,7.2,78.4,0.0,0.0,7.1,7.2,0.0,0.0,1,1,0.10000000000000053,0.0,0.0,0
7.1,73.0,7.1,78.3,0.0,-0.10000000000000053,7.1,7.18,0.0,0.0447213595500118,1,0,0.0,0.0,0.10000000000000053,0
7.1,73.0,7.2,78.3,0.0,0.10000000000000053,7.1,7.18,0.0,0.0447213595500118,1,0,0.10000000000000053,0.0,0.10000000000000053,0
7.1,73.0,7.1,78.2,0.0,-0.10000000000000053,7.1,7.159999999999999,0.0,0.05477225575053069,1,0,0.0,0.0,0.10000000000000053,0
7.1,73.0,7.2,79.0,0.0,0.10000000000000053,7.1,7.159999999999999,0.0,0.05477225575053069,1,0,0.10000000000000053,0.0,0.10000000000000053,0
