timestamp,temperature1_c,humidity1_percent,temperature2_c,humidity2_percent,dT1,dT2,avgT1_5,avgT2_5,stdT1_5,stdT2_5,stuck_count1,stuck_count2,diffT,abs_dT1,abs_dT2,label
0,8.4,81.0,8.8,82.4,0.0,0.0,8.4,8.8,0.0,0.0,1,1,0.4000000000000003,0.0,0.0,0
5,8.4,81.0,8.8,82.2,0.0,0.0,8.4,8.8,0.0,0.0,1,1,0.4000000000000003,0.0,0.0,0
10,8.4,80.0,8.7,82.1,0.0,-0.1000000000000014,8.4,8.766666666666667,0.0,0.0577350269189636,1,0,0.2999999999999989,0.0,0.1000000000000014,0
15,8.4,80.0,8.7,82.0,0.0,0.0,8.4,8.75,0.0,0.0577350269189636,1,1,0.2999999999999989,0.0,0.0,0
20,8.4,80.0,8.7,81.8,0.0,0.0,8.4,8.74,0.0,0.0547722557505176,1,1,0.2999999999999989,0.0,0.0,0
25,8.4,80.0,8.6,81.8,0.0,-0.0999999999999996,8.4,8.7,0.0,0.0707106781186552,1,0,0.1999999999999993,0.0,0.0999999999999996,0
30,8.4,80.0,8.6,81.7,0.0,0.0,8.4,8.66,0.0,0.0547722557505161,1,1,0.1999999999999993,0.0,0.0,0
35,8.4,80.0,8.5,81.6,0.0,-0.0999999999999996,8.4,8.62,0.0,0.0836660026534067,1,0,0.0999999999999996,0.0,0.0999999999999996,0
40,8.4,80.0,8.5,81.5,0.0,0.0,8.4,8.58,0.0,0.0836660026534067,1,1,0.0999999999999996,0.0,0.0,0
45,8.4,79.0,8.5,81.2,0.0,0.0,8.4,8.540000000000001,0.0,0.0547722557505161,1,1,0.0999999999999996,0.0,0.0,0
50,8.4,79.0,8.4,81.4,0.0,-0.0999999999999996,8.4,8.5,0.0,0.0707106781186554,1,0,0.0,0.0,0.0999999999999996,0
55,8.1,79.0,8.4,81.4,-0.3000000000000007,0.0,8.34,8.459999999999999,0.1341640786499875,0.0547722557505187,0,1,0.3000000000000007,0.3000000000000007,0.0,0
60,8.0,79.0,8.4,81.3,-0.0999999999999996,0.0,8.26,8.440000000000001,0.1949358868961792,0.0547722557505191,0,1,0.4000000000000003,0.0999999999999996,0.0,0
65,8.0,78.0,8.3,81.2,0.0,-0.0999999999999996,8.180000000000001,8.4,0.2049390153191916,0.0707106781186568,1,0,0.3000000000000007,0.0,0.0999999999999996,0
70,8.0,78.0,8.3,81.1,0.0,0.0,8.1,8.360000000000001,0.1732050807568871,0.0547722557505191,1,1,0.3000000000000007,0.0,0.0,0
75,8.0,78.0,8.3,81.0,0.0,0.0,8.02,8.34,0.0447213595499913,0.0547722557505187,1,1,0.3000000000000007,0.0,0.0,0
80,8.0,78.0,8.2,81.0,0.0,-0.1000000000000014,8.0,8.3,0.0,0.0707106781186561,1,0,0.1999999999999993,0.0,0.1000000000000014,0
85,8.0,78.0,8.2,81.0,0.0,0.0,8.0,8.26,0.0,0.0547722557505173,1,1,0.1999999999999993,0.0,0.0,0
90,8.0,77.0,8.2,80.9,0.0,0.0,8.0,8.24,0.0,0.054772255750516,1,1,0.1999999999999993,0.0,0.0,0
95,8.0,77.0,8.1,80.9,0.0,-0.0999999999999996,8.0,8.2,0.0,0.0707106781186522,1,0,0.0999999999999996,0.0,0.0999999999999996,0
100,8.0,77.0,8.1,80.8,0.0,0.0,8.0,8.16,0.0,0.054772255750511,1,1,0.0999999999999996,0.0,0.0,0
105,8.0,77.0,8.1,80.8,0.0,0.0,8.0,8.139999999999999,0.0,0.0547722557505106,1,1,0.0999999999999996,0.0,0.0,0
110,8.0,77.0,8.0,80.7,0.0,-0.0999999999999996,8.0,8.1,0.0,0.0707106781186492,1,0,0.0,0.0,0.0999999999999996,0
115,8.0,76.0,8.0,80.7,0.0,0.0,8.0,8.059999999999999,0.0,0.054772255750508,1,1,0.0,0.0,0.0,0
120,8.0,76.0,8.0,80.6,0.0,0.0,8.0,8.040000000000001,0.0,0.0547722557505077,1,1,0.0,0.0,0.0,0
125,8.0,76.0,8.0,80.5,0.0,0.0,8.0,8.02,0.0,0.0447213595499845,1,1,0.0,0.0,0.0,0
130,7.6,76.0,7.9,80.5,-0.4000000000000003,-0.0999999999999996,7.92,7.979999999999999,0.1788854381999822,0.0447213595499845,0,0,0.3000000000000007,0.4000000000000003,0.0999999999999996,0
135,7.6,76.0,7.9,80.5,0.0,0.0,7.840000000000001,7.959999999999999,0.2190890230020658,0.0547722557505075,1,1,0.3000000000000007,0.0,0.0,0
140,7.6,76.0,7.9,80.5,0.0,0.0,7.76,7.94,0.2190890230020658,0.0547722557505079,1,1,0.3000000000000007,0.0,0.0,0
145,7.6,76.0,7.9,80.5,0.0,0.0,7.68,7.92,0.1788854381999822,0.0447213595499858,1,1,0.3000000000000007,0.0,0.0,0
150,7.6,76.0,7.8,80.4,0.0,-0.1000000000000005,7.6,7.88,0.0,0.0447213595499878,1,0,0.2000000000000001,0.0,0.1000000000000005,0
155,7.6,76.0,7.8,80.3,0.0,0.0,7.6,7.860000000000001,0.0,0.0547722557505107,1,1,0.2000000000000001,0.0,0.0,0
160,7.6,76.0,7.8,80.3,0.0,0.0,7.6,7.840000000000001,0.0,0.0547722557505111,1,1,0.2000000000000001,0.0,0.0,0
165,7.6,76.0,7.8,80.2,0.0,0.0,7.6,7.82,0.0,0.0447213595499895,1,1,0.2000000000000001,0.0,0.0,0
170,7.6,76.0,7.7,80.1,0.0,-0.0999999999999996,7.6,7.779999999999999,0.0,0.0447213595499906,1,0,0.1000000000000005,0.0,0.0999999999999996,0
175,7.6,76.0,7.7,80.0,0.0,0.0,7.6,7.76,0.0,0.0547722557505127,1,1,0.1000000000000005,0.0,0.0,0
180,7.6,76.0,7.7,80.0,0.0,0.0,7.6,7.74,0.0,0.0547722557505131,1,1,0.1000000000000005,0.0,0.0,0
185,7.6,76.0,7.7,80.0,0.0,0.0,7.6,7.720000000000001,0.0,0.0447213595499922,1,1,0.1000000000000005,0.0,0.0,0
190,7.6,76.0,7.6,80.0,0.0,-0.1000000000000005,7.6,7.68,0.0,0.0447213595499942,1,0,0.0,0.0,0.1000000000000005,0
195,7.6,76.0,7.6,80.0,0.0,0.0,7.6,7.659999999999999,0.0,0.0547722557505159,1,1,0.0,0.0,0.0,0
200,7.6,76.0,7.6,79.8,0.0,0.0,7.6,7.639999999999999,0.0,0.0547722557505164,1,1,0.0,0.0,0.0,0
205,7.6,76.0,7.6,79.8,0.0,0.0,7.6,7.619999999999999,0.0,0.0447213595499959,1,1,0.0,0.0,0.0,0
210,7.6,75.0,7.6,79.7,0.0,0.0,7.6,7.6,0.0,0.0,1,1,0.0,0.0,0.0,0
215,7.6,75.0,7.5,79.7,0.0,-0.0999999999999996,7.6,7.58,0.0,0.044721359549997,1,0,0.0999999999999996,0.0,0.0999999999999996,0
220,7.6,75.0,7.5,79.6,0.0,0.0,7.6,7.56,0.0,0.0547722557505179,1,1,0.0999999999999996,0.0,0.0,0
225,7.4,75.0,7.5,79.6,-0.1999999999999993,0.0,7.56,7.539999999999999,0.089442719099989,0.0547722557505183,0,1,0.0999999999999996,0.1999999999999993,0.0,0
230,7.1,75.0,7.5,79.4,-0.3000000000000007,0.0,7.459999999999999,7.52,0.2190890230020655,0.0447213595499986,0,1,0.4000000000000003,0.3000000000000007,0.0,0
235,7.1,75.0,7.5,79.4,0.0,0.0,7.359999999999999,7.5,0.2509980079602218,0.0,1,1,0.4000000000000003,0.0,0.0,0
240,7.1,75.0,7.4,79.4,0.0,-0.0999999999999996,7.26,7.479999999999999,0.2302172886644256,0.0447213595500001,1,0,0.3000000000000007,0.0,0.0999999999999996,0
245,7.1,75.0,7.4,79.4,0.0,0.0,7.159999999999999,7.459999999999999,0.1341640786499849,0.0547722557505205,1,1,0.3000000000000007,0.0,0.0,0
250,7.1,75.0,7.4,79.3,0.0,0.0,7.1,7.44,0.0,0.0547722557505209,1,1,0.3000000000000007,0.0,0.0,0
255,7.1,75.0,7.4,79.2,0.0,0.0,7.1,7.42,0.0,0.0447213595500017,1,1,0.3000000000000007,0.0,0.0,0
260,7.1,75.0,7.4,79.2,0.0,0.0,7.1,7.4,0.0,0.0,1,1,0.3000000000000007,0.0,0.0,0
265,7.1,75.0,7.4,79.1,0.0,0.0,7.1,7.4,0.0,0.0,1,1,0.3000000000000007,0.0,0.0,0
270,7.1,74.0,7.3,79.1,0.0,-0.1000000000000005,7.1,7.380000000000001,0.0,0.0447213595500037,1,0,0.2000000000000001,0.0,0.1000000000000005,0
275,7.1,74.0,7.3,79.0,0.0,0.0,7.1,7.359999999999999,0.0,0.0547722557505237,1,1,0.2000000000000001,0.0,0.0,0
